continent,month_year,unfiltered_rows,confidence_filtered_rows,detection_filter_rows
Africa,mar23,6859,5674,2043
Africa,apr23,6429,5217,661
Africa,may23,3687,3078,0
Africa,jun23,15560,12268,1314
Africa,jul23,25590,17775,7408
Africa,aug23,59929,53734,44490
Africa,sept23,30676,24699,15300
Africa,oct23,11319,8464,3479
Africa,nov23,11486,6582,1492
Africa,dec23,10988,6744,564
Africa,jan24,11712,8346,651
Africa,feb24,13646,10032,1413
Africa,mar24,16878,8902,966
Asia,mar23,9481,4382,677
Asia,apr23,42013,24379,19336
Asia,may23,35180,18935,12465
Asia,jun23,44882,25380,18140
Asia,jul23,37524,21149,15469
Asia,aug23,42101,23358,14876
Asia,sept23,30841,14034,6792
Asia,oct23,29390,15593,11001
Asia,nov23,36191,19142,12160
Asia,dec23,39016,21731,14262
Asia,jan24,36771,20321,14471
Asia,feb24,42707,21325,9377
Asia,mar24,48558,26008,13680
Europe,mar23,2353772,1868354,1175087
Europe,apr23,5710054,3865007,2790648
Europe,may23,6989324,4926028,3823686
Europe,jun23,7134719,5160350,4079094
Europe,jul23,4954721,3720342,2735349
Europe,aug23,2853411,2076097,1205919
Europe,sept23,3133919,2236646,1257400
Europe,oct23,3734808,2697581,1508781
Europe,nov23,3094436,2265055,1198576
Europe,dec23,2934349,2089767,988375
Europe,jan24,5786746,3571206,1721664
Europe,feb24,9260942,5315812,2613879
Europe,mar24,20501791,11188642,6112431
North America,mar2023,3723985,2388941,1544776
North America,apr2023,6054556,3636111,2495897
North America,may2023,6187082,3632086,2361203
North America,jun2023,6095515,3437837,2159170
North America,jul2023,6157390,3470219,2055066
North America,aug2023,4304346,2572802,1396281
North America,sept2023,4008456,2471016,1375376
North America,oct2023,4709056,2673838,1388868
North America,nov2023,4548460,2589821,1261664
North America,dec2023,5316575,2825958,1308435
North America,jan2024,8580266,4008796,1590417
North America,feb2024,12462679,5728660,2344182
North America,mar2024,20200890,9164263,3991501
Oceania,mar23,321425,264232,162677
Oceania,apr23,400406,318338,182322
Oceania,may23,348946,277475,151796
Oceania,jun23,324035,259771,132964
Oceania,jul23,496140,404682,247006
Oceania,aug23,559596,455642,274824
Oceania,sept23,549407,446794,274864
Oceania,oct23,729331,577912,375207
Oceania,nov23,1031186,781477,556102
Oceania,dec23,943639,722524,499323
Oceania,jan24,882071,563775,316375
Oceania,feb24,839383,537253,295230
Oceania,mar24,1171042,713218,411386
South America,mar2023,17150,13253,7194
South America,apr2023,19052,14013,3804
South America,may2023,24046,18743,6509
South America,jun2023,18874,14713,4235
South America,jul2023,20494,15034,3853
South America,aug2023,21207,15658,4011
South America,sept2023,15731,12149,3473
South America,oct2023,23067,18887,7409
South America,nov2023,19299,15996,6117
South America,dec2023,23479,18116,4056
South America,jan2024,50813,29924,6947
South America,feb2024,42926,23196,3457
South America,mar2024,56772,36695,14543
