com_name,sci_name_bw,sci_name_elton,flag,sci_name_botw,nocturnal
African Gray Woodpecker,Chloropicus goertae,Mesopicos goertae,NA,Dendropicos goertae,0
American Three-toed Woodpecker,Picoides dorsalis,Picoides dorsalis,NA,Picoides tridactylus,0
American Tree Sparrow,Spizelloides arborea,Spizella arborea,NA,Passerella arborea,0
American Yellow Warbler,Setophaga aestiva,Dendroica aestiva,NA,Setophaga petechia,0
Australian Ibis,Threskiornis molucca,Threskiornis molucca,NA,Threskiornis moluccus,0
Baudin's Black-Cockatoo,Calyptorhynchus baudinii,Calyptorhynchus baudinii,NA,Zanda baudinii,0
Black Butcherbird,Cracticus quoyi,Cracticus quoyi,NA,Melloria quoyi,0
Black Grouse,Tetrao tetrix,Tetrao tetrix,NA,Lyrurus tetrix,0
Black Oystercatcher,Haematopus bachmani,Haematopus bachmani,NA,Haematopus ater,0
Black-and-gold Cotinga,Tijuca atra,Tijuca atra,NA,Lipaugus ater,0
Black-necked Stilt,Himantopus mexicanus,Himantopus mexicanus,NA,Himantopus himantopus,0
Black-shouldered Nightjar,Caprimulgus nigriscapularis,Caprimulgus nigriscapularis,NA,Caprimulgus pectoralis,1
Blue-gray Tanager,Thraupis episcopus,Thraupis episcopus,NA,Tangara episcopus,0
Bullock's Oriole,Icterus bullockii,Icterus bullockii,NA,Icterus galbula,0
Cape Robin-Chat,Cossypha caffra,Cossypha caffra,NA,Dessonornis caffer,0
Carnaby's Black-Cockatoo,Calyptorhynchus latirostris,Calyptorhynchus latirostris,NA,Zanda latirostris,0
Chimango Caracara,Milvago chimango,Milvago chimango,NA,Phalcoboenus chimango,0
Crested Francolin,Dendroperdix sephaena,Francolinus sephaena,NA,Ortygornis sephaena,0
Double-crested Cormorant,Phalacrocorax auritus,Phalacrocorax auritus,NA,Nannopterum auritum,0
Evening Grosbeak,Coccothraustes vespertinus,Coccothraustes vespertinus,NA,Hesperiphona vespertina,0
Gartered Trogon,Trogon caligatus,Trogon caligatus,NA,Trogon violaceus,0
Gray Cuckooshrike,Coracina caesia,Coracina caesia,NA, Ceblepyris caesius,0
Greater Whitethroat,Sylvia communis,Sylvia communis,NA,Curruca communis,0
Green Heron,Butorides virescens,Butorides virescens,NA,Butorides striata,0
Hairy Woodpecker,Dryobates villosus,Picoides villosus,NA,Leuconotopicus villosus,0
Henslow's Sparrow,Centronyx henslowii,Ammodramus henslowii,NA,Passerculus henslowii,0
Hoary Redpoll,Acanthis hornemanni,Carduelis hornemanni,NA,Acanthis flammea,0
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,Chrysococcyx basalis,NA,Chalcites basalis,0
Laughing Dove,Streptopelia senegalensis,Stigmatopelia senegalensis,NA,Spilopelia senegalensis,0
Leach's Storm-Petrel,Oceanodroma leucorhoa,Oceanodroma leucorhoa,NA,Hydrobates leucorhous,0
Lesser Redpoll,Acanthis cabaret,Carduelis flammea,NA,Acanthis flammea,0
Lesser Whitethroat,Sylvia curruca,Sylvia curruca,NA,Curruca curruca,0
Lineated Woodpecker,Dryocopus lineatus,Dryocopus lineatus,NA,Hylatomus lineatus,0
Little Bronze-Cuckoo,Chrysococcyx minutillus,Chrysococcyx minutillus,NA,Chalcites minutillus,0
Middle Spotted Woodpecker,Dendrocoptes medius,Dendrocopos medius,NA,Leiopicus medius,0
Neotropic Cormorant,Phalacrocorax brasilianus,Phalacrocorax brasilianus,NA,Nannopterum brasilianum,0
Ochre-breasted Tanager,Chlorothraupis stolzmanni,Chlorothraupis stolzmanni,NA,Habia stolzmanni,0
Olive-backed Woodpecker,Dinopium rafflesii,Dinopium rafflesii,NA,Chloropicoides rafflesii,0
Pallid Cuckoo,Cacomantis pallidus,Cuculus pallidus,NA,Heteroscenes pallidus,0
Palm Tanager,Thraupis palmarum,Thraupis palmarum,NA,Tangara palmarum,0
Pileated Woodpecker,Dryocopus pileatus,Dryocopus pileatus,NA,Hylatomus pileatus ,0
Purple-naped Spiderhunter,Kurochkinegramma hypogrammicum,Hypogramma hypogrammicum,NA,Kurochkinegramma hypogrammica,0
Red-cockaded Woodpecker,Dryobates borealis,Picoides borealis,NA,Leuconotopicus borealis,0
Rose-ringed Parakeet,Psittacula krameri,Psittacula krameri,NA,Alexandrinus krameri,0
Ruby-crowned Kinglet,Regulus calendula,Regulus calendula,NA,Corthylio calendula,0
Sapphire-spangled Emerald,Amazilia lactea,Amazilia lactea,NA,Chionomesa lactea,0
Sardinian Warbler,Sylvia melanocephala,Sylvia melanocephala,NA,Curruca melanocephala,0
Sayaca Tanager,Thraupis sayaca,Thraupis sayaca,NA,Tangara sayaca,0
Shining Bronze-Cuckoo,Chrysococcyx lucidus,Chrysococcyx lucidus,NA,Chalcites lucidus,0
Sombre Hummingbird,Aphantochroa cirrochloris,Aphantochroa cirrochloris,NA,Eupetomena cirrochloris,0
Spotted Dove,Streptopelia chinensis,Stigmatopelia chinensis,NA,Spilopelia chinensis,0
Variegated Bristle-Tyrant,Phylloscartes poecilotis,Phylloscartes poecilotis,NA,Pogonotriccus poecilotis,0
White-headed Woodpecker,Dryobates albolarvatus,Picoides albolarvatus,NA,Leuconotopicus albolarvatus,0
White-throated Magpie-Jay,Calocitta formosa,Calocitta formosa,NA,Cyanocorax formosus,0
Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,Calyptorhynchus funereus,NA,Zanda funerea,0
NA,Passerella megarhyncha,Passerella iliaca,NA,Passerella iliaca,0
